goods_code_6,Description_6,indent,CODE_2,CODE_4,CODE_6,CODE_8,CODE_10,CODE_14
0303230000 80,Tilapias (Oreochromis spp.),"- - ",03,03,23,00,00,80
0303240000 80,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","- - ",03,03,24,00,00,80
0303250000 80,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","- - ",03,03,25,00,00,80
0303260000 80,Eels (Anguilla spp.),"- - ",03,03,26,00,00,80
0303290000 80,Other,"- - ",03,03,29,00,00,80
0303310000 10,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303|91|to 0303|99","- ",03,03,31,00,00,10
0303310000 80,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","- - ",03,03,31,00,00,80
0303320000 80,Plaice (Pleuronectes platessa),"- - ",03,03,32,00,00,80
0303330000 80,Sole (Solea spp.),"- - ",03,03,33,00,00,80
0303340000 80,Turbots (Psetta maxima),"- - ",03,03,34,00,00,80
0303390000 80,Other,"- - ",03,03,39,00,00,80
0303410000 10,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303|91|to 0303|99","- ",03,03,41,00,00,10
0303410000 80,Albacore or longfinned tuna (Thunnus alalunga),"- - ",03,03,41,00,00,80
0303420000 80,Yellowfin tuna (Thunnus albacares),"- - ",03,03,42,00,00,80
0303430000 80,Skipjack or stripe-bellied bonito,"- - ",03,03,43,00,00,80
0303440000 80,Bigeye tuna (Thunnus obesus),"- - ",03,03,44,00,00,80
0303450000 80,"Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","- - ",03,03,45,00,00,80
0303460000 80,Southern bluefin tuna (Thunnus maccoyii),"- - ",03,03,46,00,00,80
0303490000 80,Other,"- - ",03,03,49,00,00,80
0303510000 10,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0303|91|to 0303|99","- ",03,03,51,00,00,10
0303510000 80,"Herrings (Clupea harengus, Clupea pallasii)","- - ",03,03,51,00,00,80
0303530000 80,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","- - ",03,03,53,00,00,80
